SituationID,SituationTitle,Genre,GenreID,Character,Entity,Technology,Verb
3269,"Star Wars: Episode VII - The Force Awakens (Holograms for planning)",Narrative,20001,"Leia Skywalker Organa Solo",,,Informed
3269,"Star Wars: Episode VII - The Force Awakens (Holograms for planning)",Movie,2000130,"Leia Skywalker Organa Solo",,,Discussing
3269,"Star Wars: Episode VII - The Force Awakens (Holograms for planning)",Narrative,20001,"Han Solo",,,Learning
3269,"Star Wars: Episode VII - The Force Awakens (Holograms for planning)",Narrative,20001,C-3PO,,,Informed
3269,"Star Wars: Episode VII - The Force Awakens (Holograms for planning)",Movie,2000130,C-3PO,,,Discussing
3269,"Star Wars: Episode VII - The Force Awakens (Holograms for planning)",Movie,2000130,,,Holograms,Mapping
3269,"Star Wars: Episode VII - The Force Awakens (Holograms for planning)",Narrative,20001,"Leia Skywalker Organa Solo",,,Learning
3269,"Star Wars: Episode VII - The Force Awakens (Holograms for planning)",Movie,2000130,"Han Solo",,,Informed
3269,"Star Wars: Episode VII - The Force Awakens (Holograms for planning)",Narrative,20001,"Han Solo",,,Planning
3269,"Star Wars: Episode VII - The Force Awakens (Holograms for planning)",Narrative,20001,C-3PO,,,Learning
3269,"Star Wars: Episode VII - The Force Awakens (Holograms for planning)",Movie,2000130,"Leia Skywalker Organa Solo",,,Informed
3269,"Star Wars: Episode VII - The Force Awakens (Holograms for planning)",Narrative,20001,,,Holograms,Visualising
3269,"Star Wars: Episode VII - The Force Awakens (Holograms for planning)",Narrative,20001,"Leia Skywalker Organa Solo",,,Planning
3269,"Star Wars: Episode VII - The Force Awakens (Holograms for planning)",Movie,2000130,"Han Solo",,,Learning
3269,"Star Wars: Episode VII - The Force Awakens (Holograms for planning)",Movie,2000130,C-3PO,,,Informed
3269,"Star Wars: Episode VII - The Force Awakens (Holograms for planning)",Narrative,20001,"Han Solo",,,Discussing
3269,"Star Wars: Episode VII - The Force Awakens (Holograms for planning)",Narrative,20001,C-3PO,,,Planning
3269,"Star Wars: Episode VII - The Force Awakens (Holograms for planning)",Movie,2000130,"Leia Skywalker Organa Solo",,,Learning
3269,"Star Wars: Episode VII - The Force Awakens (Holograms for planning)",Narrative,20001,,,Holograms,Informing
3269,"Star Wars: Episode VII - The Force Awakens (Holograms for planning)",Narrative,20001,"Leia Skywalker Organa Solo",,,Discussing
3269,"Star Wars: Episode VII - The Force Awakens (Holograms for planning)",Movie,2000130,"Han Solo",,,Planning
3269,"Star Wars: Episode VII - The Force Awakens (Holograms for planning)",Movie,2000130,C-3PO,,,Learning
3269,"Star Wars: Episode VII - The Force Awakens (Holograms for planning)",Movie,2000130,,,Holograms,Visualising
3269,"Star Wars: Episode VII - The Force Awakens (Holograms for planning)",Narrative,20001,C-3PO,,,Discussing
3269,"Star Wars: Episode VII - The Force Awakens (Holograms for planning)",Movie,2000130,"Leia Skywalker Organa Solo",,,Planning
3269,"Star Wars: Episode VII - The Force Awakens (Holograms for planning)",Narrative,20001,,,Holograms,Mapping
3269,"Star Wars: Episode VII - The Force Awakens (Holograms for planning)",Narrative,20001,"Han Solo",,,Informed
3269,"Star Wars: Episode VII - The Force Awakens (Holograms for planning)",Movie,2000130,"Han Solo",,,Discussing
3269,"Star Wars: Episode VII - The Force Awakens (Holograms for planning)",Movie,2000130,C-3PO,,,Planning
3269,"Star Wars: Episode VII - The Force Awakens (Holograms for planning)",Movie,2000130,,,Holograms,Informing
3268,"Brave New World (optical implant memory holograms)",Narrative,20001,,,Holograms,transmitted
3268,"Brave New World (optical implant memory holograms)","TV series or episode",2000131,,,Holograms,transmitted
