NarrativeGenre,WorkID,WorkTitle
Comic,1027,Deep Dark Fears
Comic,2978,Moth & Whisper
Comic,1024,Seed
Comic,585,Square Eyes
Comic,254,Transmetropolitan
Creepypasta,224,Facial Features Not Recognized
Creepypasta,127,Has Anyone Else Used ExpressionCaptioner?
Creepypasta,226,"I Created an AI to Make Procedurally Generated Movies, But They're Horrifying"
Creepypasta,220,"I'm going to die, and probably soon, because of what I saw through an unsecured webcam one night"
Creepypasta,222,My Camera Knows Something I Don't
Creepypasta,218,Satellite Images
Creepypasta,19,The Webcam Project
Electronic literature,6,Breathe: A Ghost Story
Electronic literature,26,I Spy with my Machine Eye
Electronic literature,628,Ring (TM) Log
Electronic literature,3273,StoryFace
Fan fiction,165,No More Selfies - A Kardashian Dystopia
Movie,2362,2.0 (2018)
Movie,2277,2001: A Space Odyssey (novel and film)
Movie,1931,2033: La Ilusión de un Futuro Mejor
Movie,2672,A Date in 2025
Movie,2599,A Scanner Darkly
Movie,495,A View to a Kill
Movie,1487,AI Amok
Movie,2299,Alita: Battle Angel
Movie,2696,Ana
Movie,2397,Android Kunjappan Version 5.25
Movie,831,Anon
Movie,1881,Arrival
Movie,2101,Avengers: Endgame
Movie,2077,Avengers: Infinity War
Movie,316,Awake
Movie,2344,Best Friend
Movie,1846,Big Hero 6
Movie,1722,Black Panther (2018 movie)
Movie,3137,Black Widow
Movie,1904,Blade Runner 2049
Movie,2689,BlinkyTM
Movie,1085,Cam
Movie,1946,Captain America: The Winter soldier
Movie,2372,Cosmodrama
Movie,1804,Deadpool 2
Movie,1850,Edge of Tomorrow
Movie,104,eXistenZ
Movie,2546,Flåklypa Grand Prix
Movie,2714,Freaks
Movie,2300,Ghost in the Shell
Movie,873,Good boys
Movie,2307,Gravity
Movie,1814,"Guardians of the Galaxy, vol. 1 & vol. 2"
Movie,80,Hardcore Henry
Movie,3087,Have a Nice Day
Movie,2677,Hyper Reality
Movie,1892,Incredibles 2
Movie,454,Iron Man
Movie,2532,Isle of Dogs
Movie,1110,Johnny Mnemonic
Movie,1830,Jupiter Ascending
Movie,1918,Logan
Movie,1167,Man With a Movie Camera
Movie,141,Minority Report
Movie,2215,Oblivion
Movie,290,Ocean`s Eight
Movie,1975,Órbita 9
Movie,2722,Outside the Wire
Movie,2222,Passengers
Movie,2327,Prometheus
Movie,10,Ralph Breaks the Internet
Movie,666,Replicas
Movie,1852,Rogue One: A Star Wars Story
Movie,282,Shutter (film)
Movie,2071,Sleep Dealer
Movie,463,Spider Man: Far From Home
Movie,1970,Spider-Man: Into the Spider-Verse
Movie,2382,Srivalli
Movie,1819,Star Trek: Into Darkness
Movie,2148,"Star Wars (Episode: 7, 8 & 9)"
Movie,373,Strange Beasts
Movie,2587,Superintelligence
Movie,2297,Technotise: Edit & I
Movie,2701,Temple
Movie,729,Terminator 2
Movie,768,The Addams Family
Movie,2339,The Avengers
Movie,1162,The Cat Returns
Movie,675,The Circle
Movie,867,The Final Cut
Movie,589,The Hunger Games (series)
Movie,2544,The Invisible Man
Movie,2052,The Martian
Movie,1953,The Matrix
Movie,2576,The Midnight Sky
Movie,3033,The Mitchells vs. The Machines
Movie,2693,The Nostalgist
Movie,2519,The Social Dilemma
Movie,737,The Terminator
Movie,286,They Live
Movie,2356,Thor: Ragnarok
Movie,417,Why Him?
Movie,2062,X-Men: Days of Future Past
Movie,510,You•Who? Customised Cinema Installation
Movie,108,Young Ones
Music video,332,Alone
Music video,504,Ayo Technology
Music video,368,Cam Boy
Music video,745,Come Out To LA
Music video,393,Dirty Computer
Music video,2628,Dystopia
Music video,353,EYE
Music video,704,Glad Girls
Music video,423,Grief
Music video,349,Heartbreak Warfare
Music video,360,Hell No
Music video,936,House of Cards
Music video,700,I'm Just Gettin' Blowed
Music video,341,Lost Faith
Music video,345,Paper
Music video,3082,Revolt
Music video,473,Security Cameras
Music video,1094,See you
Music video,861,Sound and Fury
Music video,2635,Stellar
Music video,371,The Cell
Music video,2449,Too Much
Novel,1982,... som duften av en drøm...
Novel,2277,2001: A Space Odyssey (novel and film)
Novel,1642,A Closed and Common Orbit
Novel,1950,A Memory Called Empire
Novel,1612,A Song for a New Day
Novel,2798,Agency
Novel,249,Ancillary Justice
Novel,2665,And Shall Machines Surrender
Novel,2810,Arc of a Scythe (series)
Novel,3125,Attack Surface
Novel,153,Autonomous
Novel,2477,Bouvetøya 2052
Novel,976,China Mountain Zhang
Novel,2778,Compis
Novel,162,Daemon
Novel,1839,Død og oppstandelse
Novel,3252,Emily Eternal
Novel,1840,"Fall; or, Dodge in Hell: A Novel"
Novel,1434,Gnomon
Novel,1223,House of Earth and Blood
Novel,655,Infinite Detail: A Novel
Novel,3216,Klara and the Sun
Novel,1712,Lagoon
Novel,173,Little Brother
Novel,1196,Little Eyes/Kentukis
Novel,1775,LoveStar: A Novel
Novel,3119,Machinehood
Novel,432,Machines Like Me
Novel,971,Moxyland
Novel,1426,Neuromancer
Novel,202,Nineteen Eighty-Four
Novel,1101,Pattern Recognition
Novel,327,Red Queen
Novel,1801,Redshirts
Novel,3129,Remote Control
Novel,2068,Six Wakes
Novel,534,Skinned
Novel,2948,The High-Rise Diver
Novel,589,The Hunger Games (series)
Novel,2463,The Last Human
Novel,1898,The Last One
Novel,1481,The Murderbot Diaries (series)
Novel,2707,The Old Lie
Novel,2803,The Peripheral
Novel,2975,The Salvage Crew
Novel,1717,The Test
Novel,164,Trætte Mænd
Novel,2642,Utbryterne
Novel,2790,Wool
Online video,316,Awake
Online video,2655,Change Return
Online video,1022,Coronavirus Drone Video
Online video,25,In the Robot Skies: A Drone Love Story
Online video,3264,Sight
Online video,860,Slaughterbots
Online video,67,Song of the Machine
Online video,2663,This Time Away
Online video,112,Totally Normal
Short story,2238,Behind our Irises
Short story,157,Drones Don't Kill People
Short story,1001,Exhalation
Short story,613,Facial recognition
Short story,2095,For Want of a Nail
Short story,1438,"Goodnight, Melancholy"
Short story,1818,Mono no Aware
Short story,1450,Security Check
Short story,125,Selfies
Short story,133,Someone to Watch Over Me
Short story,2525,STET
Short story,615,The Flower of Shazui
Short story,82,The Machine Stops
Short story,94,Thoughts and Prayers
Short story,2083,Welcome to Your Authentic Indian ExperienceTM
Short story,2144,Yat Madit
TV series or episode,2208,3%
TV series or episode,608,Beforeigners
TV series or episode,931,Better off Ted
TV series or episode,611,Better Than Us
TV series or episode,553,Black Mirror
TV series or episode,1484,Brave New World (2020 TV series)
TV series or episode,1747,Brooklyn Nine-Nine: The Fugitive Part 1
TV series or episode,144,Cowboy Bebop
TV series or episode,1007,Dr. Who: Series 7
TV series or episode,810,Final Space
TV series or episode,630,Futurama
TV series or episode,839,Goliath
TV series or episode,2427,His Dark Materials
TV series or episode,2241,How to Sell Drugs Online (Fast)
TV series or episode,687,I'm Alan Partridge
TV series or episode,2812,Invincible
TV series or episode,1124,"Love, Death & Robots"
TV series or episode,1816,Memories of the Alhambra
TV series or episode,2433,My Holo Love
TV series or episode,405,Neon Genesis Evangelion
TV series or episode,1090,October Faction
TV series or episode,1734,Onisciente
TV series or episode,2232,Osmosis
TV series or episode,1817,Raised by Wolves
TV series or episode,927,Rick and Morty
TV series or episode,1940,Rugal
TV series or episode,2607,She-Ra and the Princess of Power
TV series or episode,2972,Solar Opposites
TV series or episode,3220,Squid Game
TV series or episode,96,Sword Art Online
TV series or episode,2412,The Expanse
TV series or episode,2476,The Mandalorian
TV series or episode,1749,The Rain
TV series or episode,682,The Simpsons
TV series or episode,112,Totally Normal
TV series or episode,389,True Beauty
TV series or episode,1189,Upload
