SituationID,Situation,Colours,AestheticCharacteristics,MachinePOV
1660,"Data-Masks (Series) (reverse engineering facial recognition)",White,Metallic,False
1903,"FACELESS (making a CCTV film)",NA,Glitchy,False
1903,"FACELESS (making a CCTV film)",NA,"birds eye view",False
1903,"FACELESS (making a CCTV film)",NA,Pixelated,False
1903,"FACELESS (making a CCTV film)",NA,Low-quality,False
3092,"Gruppebilde Bergen 2020 (assembling a dataset to generate portraits)","Black and white",Portraits,False
3092,"Gruppebilde Bergen 2020 (assembling a dataset to generate portraits)",Multicolored,Portraits,False
2247,"Sharing locations: YONGSAN & HUMPHREY GARRISON (obfuscating satellite images)",NA,Aerial,False
1691,"Sustaining Gazes (measuring the gaze)",Violet,Scientific,False
1691,"Sustaining Gazes (measuring the gaze)",Violet,Abstract,False
1691,"Sustaining Gazes (measuring the gaze)",Blue,Scientific,False
1691,"Sustaining Gazes (measuring the gaze)",Blue,Abstract,False
1691,"Sustaining Gazes (measuring the gaze)",Red,Scientific,False
1691,"Sustaining Gazes (measuring the gaze)",Red,Abstract,False
1691,"Sustaining Gazes (measuring the gaze)",Yellow,Scientific,False
1691,"Sustaining Gazes (measuring the gaze)",Yellow,Abstract,False
3148,"The Human Detector (avoiding detection)",White,Graphic,False
3148,"The Human Detector (avoiding detection)",White,Minimalistic,False
3148,"The Human Detector (avoiding detection)",Blue,Graphic,False
3148,"The Human Detector (avoiding detection)",Blue,Minimalistic,False
3148,"The Human Detector (avoiding detection)",Black,Graphic,False
3148,"The Human Detector (avoiding detection)",Black,Minimalistic,False
3148,"The Human Detector (avoiding detection)",Red,Graphic,False
3148,"The Human Detector (avoiding detection)",Red,Minimalistic,False
1762,"(e)motion (aware of micro expressions)",Black,"High Contrast",False
1762,"(e)motion (aware of micro expressions)",Black,Saturated,False
1762,"(e)motion (aware of micro expressions)",Black,Scientific,False
1762,"(e)motion (aware of micro expressions)",Yellow,"High Contrast",False
1762,"(e)motion (aware of micro expressions)",Yellow,Saturated,False
1762,"(e)motion (aware of micro expressions)",Yellow,Scientific,False
1762,"(e)motion (aware of micro expressions)",Red,"High Contrast",False
1762,"(e)motion (aware of micro expressions)",Red,Saturated,False
1762,"(e)motion (aware of micro expressions)",Red,Scientific,False
