Title,ID,Genre,"Genre ID"
Sight,3264,Narrative,20001
Sight,3264,"Online video",2000132
"Emily Eternal",3252,Narrative,20001
"Emily Eternal",3252,Novel,2000133
"Squid Game",3220,Narrative,20001
"Squid Game",3220,"TV series or episode",2000131
"Klara and the Sun",3216,Narrative,20001
"Klara and the Sun",3216,Novel,2000133
"The Argus Project",3171,Narrative,20001
"Black Widow",3137,Narrative,20001
"Black Widow",3137,Movie,2000130
"Remote Control",3129,Narrative,20001
"Remote Control",3129,Novel,2000133
"Attack Surface",3125,Narrative,20001
"Attack Surface",3125,Novel,2000133
Machinehood,3119,Narrative,20001
Machinehood,3119,Novel,2000133
"Have a Nice Day",3087,Narrative,20001
"Have a Nice Day",3087,Movie,2000130
Revolt,3082,Narrative,20001
Revolt,3082,"Music video",2000316
"The Mitchells vs. The Machines",3033,Narrative,20001
"The Mitchells vs. The Machines",3033,Movie,2000130
"Moth & Whisper",2978,Narrative,20001
"Moth & Whisper",2978,Comic,2000330
"The Salvage Crew",2975,Narrative,20001
"The Salvage Crew",2975,Novel,2000133
"Solar Opposites",2972,Narrative,20001
"Solar Opposites",2972,"TV series or episode",2000131
"The High-Rise Diver",2948,Narrative,20001
"The High-Rise Diver",2948,Novel,2000133
Invincible,2812,Narrative,20001
Invincible,2812,"TV series or episode",2000131
"Arc of a Scythe (series)",2810,Narrative,20001
"Arc of a Scythe (series)",2810,Novel,2000133
"The Peripheral",2803,Narrative,20001
"The Peripheral",2803,Novel,2000133
Agency,2798,Narrative,20001
Agency,2798,Novel,2000133
Wool,2790,Narrative,20001
Wool,2790,Novel,2000133
Compis,2778,Narrative,20001
Compis,2778,Novel,2000133
"Outside the Wire",2722,Narrative,20001
"Outside the Wire",2722,Movie,2000130
"Madoc: A Mystery",2719,Narrative,20001
Freaks,2714,Narrative,20001
Freaks,2714,Movie,2000130
"The Old Lie",2707,Narrative,20001
"The Old Lie",2707,Novel,2000133
Temple,2701,Narrative,20001
Temple,2701,Movie,2000130
Ana,2696,Narrative,20001
Ana,2696,Movie,2000130
"The Nostalgist",2693,Narrative,20001
"The Nostalgist",2693,Movie,2000130
BlinkyTM,2689,Narrative,20001
BlinkyTM,2689,Movie,2000130
ZARI,2684,Narrative,20001
ZARI,2684,Movie,2000130
"Hyper Reality",2677,Narrative,20001
"Hyper Reality",2677,Movie,2000130
"A Date in 2025",2672,Narrative,20001
"A Date in 2025",2672,Movie,2000130
"And Shall Machines Surrender",2665,Narrative,20001
"And Shall Machines Surrender",2665,Novel,2000133
"This Time Away",2663,Narrative,20001
"This Time Away",2663,Movie,2000130
"Change Return",2655,Narrative,20001
"Change Return",2655,Movie,2000130
Utbryterne,2642,Narrative,20001
Utbryterne,2642,Novel,2000133
Stellar,2635,Narrative,20001
Stellar,2635,"Music video",2000316
Dystopia,2628,Narrative,20001
Dystopia,2628,"Music video",2000316
"She-Ra and the Princess of Power",2607,Narrative,20001
"She-Ra and the Princess of Power",2607,"TV series or episode",2000131
"A Scanner Darkly",2599,Narrative,20001
"A Scanner Darkly",2599,Movie,2000130
Superintelligence,2587,Narrative,20001
Superintelligence,2587,Movie,2000130
"The Midnight Sky",2576,Narrative,20001
"The Midnight Sky",2576,Movie,2000130
